date;jp_exchange;jp_et;jp_et_dif_h1;jp_et_dif_h12;jp_et_ecm_h1;jp_et_ecm_h12;jp_gap;jp_gdp;jp_gdp_log;jp_inflation;jp_inflation_log;jp_interest;jp_m1;jp_m1_log;us_exchange;us_et;us_et_dif_h1;us_et_dif_h12;us_et_ecm_h1;us_et_ecm_h12;us_gap;us_gdp;us_gdp_log;us_inflation;us_inflation_log;us_interest;us_m1;us_m1_log;jp_m_hat;jp_y_hat;jp_r_hat;jp_i_hat;jp_ygap_hat;jp_m_hat_dif_h1;jp_y_hat_dif_h1;jp_r_hat_dif_h1;jp_i_hat_dif_h1;jp_ygap_hat_dif_h1;jp_m_hat_dif_h12;jp_y_hat_dif_h12;jp_r_hat_dif_h12;jp_i_hat_dif_h12;jp_ygap_hat_dif_h12;jp_coint_taylor;jp_coint_monetary_standard;jp_coint_monetary_sticky;jp_coint_monetary_sticky_uip;jp_coint_monetary_flexible_uip
2000-10-01;109,05;4,69180649264764;1,92540685978857e-02;0,110738052760700256;1,92540685978857e-02;0,110738052760700256;0,983246897548833;46851390775232,6;31,4780018098764;97,3541968911917;4,57835584225198;0,24762;282294025042582;33,2739702856880;1;0;0;0;0;0;1,048953847388110;903113256089,145;27,5291138045243;79,7961986741907;4,37947586765938;6,51;1,09220e+12;27,7192151266645;5,55475515902353;3,94888800535203;0,198879974592600206;-6,26237999999999939;-6,57069498392765e-02;3,64516971013629e-03;3,66449370330422e-02;-1,72562596746939e-03;8,11999999999991e-03;0,005017870282155834;5,41990809480879e-02;-0,037222085846941866;-0,044940298990503003;-1,08687999999999896;3,89924869931947e-02;0,50339311799785813;-0,45797080253834233;-0,66057414514908663;0,303523422249439845;-0,6184619138194223
2000-11-01;111,17;4,71106056124552;3,30016236091861e-02;0,108817697235675581;3,30016236091861e-02;0,108817697235675581;0,988605554557006;47667889366274,2;31,4952791082321;97,0594818652850;4,57532400566986;0,24750;281751243358394;33,2720456818232;1;0;0;0;0;0;1,056742954202702;888278545938,632;27,5125512086108;79,8420585584862;4,38005041521899;6,51;1,09210e+12;27,7191235641501;5,55292211767314;3,98272789962129;0,195273590450864454;-6,26250000000000018;-6,81373996456965e-02;-1,83304135038753e-03;3,38398942692635e-02;-3,60638414173575e-03;-1,20000000000786e-04;-0,002430449806420043;6,67950286364913e-02;-0,040318725251914600;-0,041946305414113816;-0,87000000000000011;2,23216652915591e-02;0,61471780373334572;-0,42672889502860095;-1,28814068139077254;-0,422983617322636396;-0,6006125088193955
2000-12-01;114,90;4,74406218485471;1,08202743617083e-02;0,137223437213696897;1,08202743617083e-02;0,137223437213696897;0,997511578341764;47085019858493,2;31,4829760166489;97,1577202072539;4,57633563954470;0,24143;296977312455812;33,3246768627758;1;0;0;0;0;0;1,049017399293504;864244197972,003;27,4851212023580;79,7961986741907;4,37947586765938;6,40;1,11170e+12;27,7369114911860;5,58776537158981;3,99785481429091;0,196859771885323553;-6,15857000000000010;-5,15058209517393e-02;3,48432539166659e-02;1,51269146696151e-02;1,58618143445910e-03;1,03930000000000e-01;0,016631578693957261;7,28764276870955e-02;-0,034902148457277349;-0,037343530440229422;-0,88285999999999998;3,87080744613864e-02;0,09523267357790456;-0,40285106611838239;-1,41684426703397093;-0,575320062954651990;-0,5880024933509836
2001-01-01;116,15;4,75488245921642;2,15007608091966e-03;0,134714506502781717;2,15007608091966e-03;0,134714506502781717;1,019605998945918;44265642817039,5;31,4212299349021;97,1577202072539;4,57633563954470;0,24895;294336900548374;33,3157461474344;1;0;0;0;0;0;1,041274981974378;833486743759,228;27,4488836347027;80,3006574014414;4,38577780773666;5,98;1,10040e+12;27,7266948659968;5,58905128143752;3,97234630019943;0,190557831808045641;-5,73105000000000064;-2,16689830284593e-02;1,28590984771648e-03;-2,55085140914808e-02;-6,30194007727791e-03;4,27519999999999e-01;0,029836837923279957;6,68038961123791e-02;-0,025620710703485372;-0,039671432792110828;-0,30158000000000040;5,27191782119144e-02;-0,80094170580080304;-0,36891946846043500;-1,13269354368034314;-0,318424632561564391;-0,5457441749192549
2001-02-01;116,40;4,75703253529734;6,80760710560149e-02;0,140060717399789425;6,80760710560149e-02;0,140060717399789425;1,027959780228172;43807389942456,3;31,4108236392267;96,8630051813471;4,57329766252463;0,24842;288604544943610;33,2960785103897;1;0;0;0;0;0;1,040112583035441;850988876806,141;27,4696648947013;80,6216765915100;4,38976755369593;5,49;1,08980e+12;27,7170153090954;5,57906320129427;3,94115874452544;0,183530108828699134;-5,24157999999999991;-1,21528028072688e-02;-9,98808014325547e-03;-3,11875556739878e-02;-7,02772297934651e-03;4,89470000000001e-01;0,009516180221190496;5,08834246472567e-02;-0,030829561140603090;-0,037763688393906314;0,45392000000000010;4,33514970236810e-02;-1,00740868385834026;-0,33782727498982906;-0,79422875118918024;-0,005257942537332159;-0,5017313890510030
2001-03-01;124,60;4,82510860635335;-9,27239056216411e-03;0,066743151752936214;-9,27239056216411e-03;0,066743151752936214;1,026118266601756;44664167240504,2;31,4301926683435;96,6665284974093;4,57126720497424;0,10667;298062379226124;33,3283239067904;1;0;0;0;0;0;1,057332875677259;878012379433,826;27,5009265300651;80,8051161286920;4,39204028194693;5,31;1,11120e+12;27,7364616283865;5,59186227840388;3,92926613827846;0,179226923027314911;-5,20332999999999934;-3,12146090755026e-02;1,27990771096158e-02;-1,18926062469775e-02;-4,30318580138422e-03;3,82500000000006e-02;-0,019061806268233727;4,50482855212542e-02;-0,029549167007157706;-0,035875887072172041;0,62531000000000070;4,24460998706400e-02;-0,28652807570405436;-0,19479861296708861;-0,53413167457492894;0,099577846858225919;-0,3771728715526838
2001-04-01;123,45;4,81583621579119;-3,50334611599390e-02;0,036194048128428413;-3,50334611599390e-02;0,036194048128428413;1,017260533614067;44123795516790,7;31,4180203337395;96,8630051813471;4,57329766252463;0,02000;310829418859059;33,3702653852162;1;0;0;0;0;0;1,041277658311412;861234607773,059;27,4816327871530;81,1261353187606;4,39600516961059;4,80;1,12670e+12;27,7503141221165;5,61995126309966;3,93638754658658;0,177292492914036259;-4,78000000000000025;-2,40171246973446e-02;2,80889846957777e-02;7,12140830811947e-03;-1,93443011327865e-03;4,23329999999999e-01;0,007197484378157926;5,34124088838048e-02;-0,020103211771527185;-0,039242505278203055;1,21999999999999975;5,47591256677151e-02;-0,45516796899937462;-0,25457871239258362;-0,73827092658633953;-0,040012120732349284;-0,4283396325430798
2001-05-01;119,20;4,78080275463125;3,98819555065604e-02;0,042699425673829339;3,98819555065604e-02;0,042699425673829339;1,012028410162894;43977174797984,2;31,4146918606558;96,9612435233161;4,57431134735547;0,01857;313451953236185;33,3786672050414;1;0;0;0;0;0;1,038819247673483;883272316041,474;27,5068993886932;81,4930143931247;4,40051730360546;4,21;1,11470e+12;27,7396064263420;5,63906077869942;3,90779247196259;0,173794043750016947;-4,19142999999999954;-2,67908375105890e-02;1,91095155997587e-02;-2,85950746239934e-02;-3,49844916401931e-03;5,88570000000001e-01;-0,002773712813244344;5,28522070392015e-02;-0,042184380486546047;-0,042580635777703435;2,05757000000000012;1,98049113314296e-02;-0,27531405212344862;-0,34577850608115007;-0,44592004239900784;0,392181859873672323;-0,4928827924839327
2001-06-01;124,05;4,82068471013781;6,02774579751753e-03;-0,037786836365991228;6,02774579751753e-03;-0,037786836365991228;1,000582555512917;43965829685225,1;31,4144338500753;96,6665284974093;4,57126720497424;0,01762;311777424563648;33,3733106663506;1;0;0;0;0;0;1,044766144985994;911900076185,625;27,5387962554321;81,6305940460112;4,40220411873694;3,97;1,12630e+12;27,7499590400001;5,62335162635055;3,87563759464320;0,169063086237308369;-3,95238000000000023;-4,41835894730771e-02;-1,57091523488688e-02;-3,21548773193889e-02;-4,73095751270858e-03;2,39049999999999e-01;-0,017392751962488129;5,40563055253642e-02;-0,040468980158028245;-0,040063402295111850;2,55671000000000026;4,00879593134722e-02;0,40249979065649882;-0,22156548705607915;0,07537971104172217;0,790055604865752659;-0,3715997031442741
2001-07-01;124,80;4,82671245593533;-4,80092191863610e-02;-0,040471495054934081;-4,80092191863610e-02;-0,040471495054934081;0,997745780370957;42972465837682,9;31,3915806971675;96,3718134715026;4,56821376748735;0,01286;315215745410765;33,3842784263790;1;0;0;0;0;0;1,029347786097511;842747200506,798;27,4599328692002;81,4012946245337;4,39939117736032;3,77;1,13970e+12;27,7617861858081;5,62249224057088;3,93164782796732;0,168822590127033045;-3,75714000000000015;-3,16020057265541e-02;-8,59385779669708e-04;5,60102333241197e-02;-2,40496110275323e-04;1,95240000000000e-01;0,012581583746522962;4,92525453715977e-02;-0,041392124125568586;-0,034957624602864001;2,76185999999999998;3,53932484769132e-02;0,01941192108508577;-0,23112606602065253;-0,86956446925351727;-0,226681568191665822;-0,3920238005995991
